Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/04/13,19041.928,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/03/09,19041.867,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/09/08,19041.508,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/08/11,19041.45,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/07/14,19041.388,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/06/09,19041.329,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/05/27,19041.264,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2020/04/16,19041.208,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2019/12/10,18363.535,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2019/10/05,18363.418,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2021/04/13,18363.15,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2021/03/09,18363.144,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/07/14,18362.959,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/05/12,18362.836,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/03/12,18362.72,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/02/11,18362.657,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2019/12/10,18362.535,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2019/11/12,18362.476,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2019/09/10,18362.356,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2019/03/29,18362.3,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2019/07/09,18362.239,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2019/06/11,18362.175,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2020/01/14,17763.973,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/12/10,17763.914,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/11/12,17763.864,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/10/08,17763.805,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/09/10,17763.737,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/08/13,17763.678,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/07/09,17763.615,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/06/11,17763.557,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/05/19,17763.504,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/04/09,17763.437,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/03/12,17763.379,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
1073745921,0,,,,,,Windows 10,1809,Pro,2019/02/12,17763.316,Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1},{param1}
