Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
203,0,Information,,Notify,,Notify,Windows 11,21H2,Pro,2023/01/17,22000.1455,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 11,21H2,Pro,2022/12/20,22000.1335,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 11,21H2,Pro,2022/11/15,22000.1219,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 11,21H2,Pro,2022/10/18,22000.1098,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,22H2,Pro,2023/03/21,19045.2728,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,22H2,Pro,2023/02/21,19045.2604,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,22H2,Pro,2023/01/17,19045.2486,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,22H2,Pro,2022/12/20,19045.2364,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,22H2,Pro,2022/11/15,19045.2251,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2023/03/21,19044.2728,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2023/02/21,19044.2604,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2023/01/17,19044.2486,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/12/20,19044.2364,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/11/15,19044.2251,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/10/18,19044.213,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/09/20,19044.2006,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/08/16,19044.1889,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/07/19,19044.1826,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/06/21,19044.1766,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/05/17,19044.1706,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/04/19,19044.1645,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/01/11,19044.1466,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2021/10/12,19044.1288,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/04/13,19043.928,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/12/20,19043.2364,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/11/15,19043.2251,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/10/18,19043.213,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/09/20,19043.2006,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/08/16,19043.1889,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/07/19,19043.1826,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/06/21,19043.1766,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/05/17,19043.1706,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/04/19,19043.1645,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/01/11,19043.1466,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/12/14,19043.1415,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2021/12/14,19043.1415,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/11/09,19043.1348,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/10/12,19043.1288,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/09/14,19043.1237,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/08/10,19043.1165,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/07/13,19043.111,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2021/06/08,19043.1052,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2022/04/19,19042.1645,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2022/01/11,19042.1466,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2021/05/11,19041.985,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2021/05/11,19041.985,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2021/04/13,19041.928,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2021/04/13,19041.928,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2021/03/09,19041.867,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2021/03/09,19041.867,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2021/02/09,19041.804,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2021/02/09,19041.804,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2021/01/12,19041.746,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2021/01/12,19041.746,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/12/08,19041.685,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2020/12/08,19041.685,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2020/11/19,19041.631,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/11/10,19041.63,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/10/13,19041.572,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/09/08,19041.508,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/08/11,19041.45,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/07/14,19041.388,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/06/09,19041.329,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/05/27,19041.264,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,2004,Pro,2020/04/16,19041.208,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/03/15,19041.1586,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2022/03/15,19041.1586,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/03/15,19041.1586,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H1,Pro,2022/02/15,19041.1526,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2022/02/15,19041.1526,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,21H2,Pro,2022/02/15,19041.1526,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
203,0,Information,,Notify,,Notify,Windows 10,20H2,Pro,2021/12/14,19041.1415,CAD: Start Charging IOCTL Call   - Id:{PowerSourceId} MaxCurrent:{MaxChargeCurrent} Info:{PowerSourceInformation} Status:{PowerSourceStatus} ChargerId:{ChargerId},{PowerSourceId} | {MaxChargeCurrent} | {PowerSourceInformation} | {PowerSourceStatus} | {ChargerId}
