Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2022/04/19,19044.1645,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2022/01/11,19044.1466,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2021/10/12,19044.1288,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/04/13,19043.928,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/05/17,19043.1706,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/04/19,19043.1645,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/01/11,19043.1466,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2021/12/14,19043.1415,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/12/14,19043.1415,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/11/09,19043.1348,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/10/12,19043.1288,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/09/14,19043.1237,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/08/10,19043.1165,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/07/13,19043.111,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/06/08,19043.1052,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2022/04/19,19042.1645,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2022/01/11,19042.1466,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/05/11,19041.985,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/05/11,19041.985,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/04/13,19041.928,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/04/13,19041.928,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/03/09,19041.867,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/03/09,19041.867,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2022/03/15,19041.1586,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/03/15,19041.1586,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2022/03/15,19041.1586,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2022/02/15,19041.1526,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/02/15,19041.1526,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2022/02/15,19041.1526,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/12/14,19041.1415,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/11/09,19041.1348,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/11/09,19041.1348,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/10/12,19041.1288,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/10/12,19041.1288,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/09/14,19041.1237,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/09/14,19041.1237,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/08/10,19041.1165,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/08/10,19041.1165,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/07/13,19041.111,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/07/13,19041.111,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2021/06/08,19041.1052,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,2004,Pro,2021/06/08,19041.1052,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,1909,Pro,2021/06/08,18363.1621,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,1909,Pro,2021/05/11,18363.1556,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,1909,Pro,2021/04/13,18363.15,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,1909,Pro,2021/03/09,18363.144,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10001,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600.0,The Keyboard Filter Service was unable to obtain the session token from the session id: {Message} ({ErrorCode}).   Please verify that Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/05/17,22000.675,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/04/19,22000.613,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/03/15,22000.556,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/02/15,22000.493,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2022/01/11,22000.434,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2021/12/14,22000.376,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2021/11/09,22000.318,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro,2021/09/16,22000.194,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2022/05/17,19044.1706,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2022/04/19,19044.1645,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2022/01/11,19044.1466,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2021/10/12,19044.1288,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/04/13,19043.928,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/05/17,19043.1706,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/04/19,19043.1645,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2022/01/11,19043.1466,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H2,Pro,2021/12/14,19043.1415,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/12/14,19043.1415,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/11/09,19043.1348,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/10/12,19043.1288,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/09/14,19043.1237,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/08/10,19043.1165,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/07/13,19043.111,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,21H1,Pro,2021/06/08,19043.1052,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2022/04/19,19042.1645,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
10002,0,Error,Microsoft-Windows-KeyboardFilter/Admin,Microsoft KeyboardFilter Service,Start,,Windows 10,20H2,Pro,2022/01/11,19042.1466,The Keyboard Filter Service was unable to obtain access to Terminal Services: {Message} ({ErrorCode}). Please verify that the Terminal Services client is installed and the service is running under the LocalSystem user.,{Message} | {ErrorCode}
